名前,タイプ,分類,威力,PP,説明,効果
おまじない,ノーマル,へんか,,30,天にむかっておいのりをささげ相手の攻撃を急所に当たらなくする。,"For five turns, opposing Pok?mon cannot score critical hits."
さきどり,ノーマル,へんか,,20,威力をあげて相手がだそうとする技を先にだす。先にだせないと失敗する。,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
まねっこ,ノーマル,へんか,,20,直前にでた技をまねして同じ技をだす。技がでていないと失敗する。,"Uses the last move that was used successfully by any Pok?mon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
パワースワップ,エスパー,へんか,,10,超能力で自分と相手の攻撃と特攻の能力変化を入れ替える。,User swaps its Attack and Special Attack stat modifiers modifiers with the target.
ガードスワップ,エスパー,へんか,,10,超能力で自分と相手の防御と特防の能力変化を入れ替える。,User swaps its Defense and Special Defense modifiers with the target.
おしおき,あく,ぶつり,,5,能力変化で相手がパワーアップしているほど技の威力があがる。,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power."
とっておき,ノーマル,ぶつり,140,5,戦闘中におぼえている技をすべて使うとはじめてだせるとっておきの技。,"Inflicts regular damage.  This move can only be used if each of the user's other moves has been used at least once since the user entered the field.  If this is the user's only move, this move will fail."
なやみのタネ,くさ,へんか,,10,心をなやませるタネを植えつける。相手を眠れなくして特性をふみんにする。,"Changes the target's ability to insomnia.

If the target's ability is truant or multitype, this move will fail."
ふいうち,あく,ぶつり,70,5,相手より先に攻撃できる。相手がだす技が攻撃技でないと失敗する。,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist."
どくびし,どく,へんか,,20,相手の足下にどくびしをしかける。交代ででてきた相手のポケモンに毒をおわせる。,"Scatters poisoned spikes around the opposing field, which poison opposing Pok?mon that enter the field.  A second layer of these spikes may be laid down, in which case Pok?mon will be badly poisoned instead.  Pok?mon immune to either ground moves or being poisoned are immune to this effect.  Pok?mon otherwise immune to ground moves are affected during gravity.

If a poison Pok?mon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user's side of the field.  defog will remove this effect from its target's side of the field.

This move does not trigger synchronize, unless the Pok?mon with synchronize was forced to enter the field by another effect such as roar.

Pok?mon entering the field due to baton pass are not affected by this effect."
ハートスワップ,エスパー,へんか,,10,超能力で自分と相手にかかっている能力変化を入れ替える。,User swaps its stat modifiers with the target.
アクアリング,みず,へんか,,20,自分の体の周りを水でつくったベールでおおう。毎ターンＨＰを回復する。,"Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass."
でんじふゆう,でんき,へんか,,10,電気でつくった磁力の力で宙に浮かぶ。５ターンのあいだ浮遊できる。,"For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass."
フレアドライブ,ほのお,ぶつり,120,15,炎をまとって突進する。自分もかなりダメージを受ける。やけど状態にすることがある。,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to burn the target.  Frozen Pok?mon may use this move, in which case they will thaw."
はっけい,かくとう,ぶつり,60,10,相手の体に衝撃波を当てて攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 30% chance to paralyze the target.
はどうだん,かくとう,とくしゅ,80,20,体の奥から波導の力を相手にうち放つ。攻撃は必ず命中する。,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
ロックカット,いわ,へんか,,20,自分の体を磨いて空気の抵抗を少なくする。素早さをぐーんとあげることができる。,Raises the user's Speed by two stages.
どくづき,どく,ぶつり,80,20,毒にそまった触手や腕で相手を突き刺す。毒状態にすることがある。,Inflicts regular damage.  Has a 30% chance to poison the target.
あくのはどう,あく,とくしゅ,80,15,体から悪意にみちた恐ろしいオーラを発する。相手をひるませることがある。,Inflicts regular damage.  Has a 20% chance to make the target flinch.
つじぎり,あく,ぶつり,70,15,一瞬のすきをついて相手を切りはらう。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
アクアテール,みず,ぶつり,90,10,激しくあれくるう荒波のように大きなしっぽをふって相手を攻撃する。,Inflicts regular damage.
タネばくだん,くさ,ぶつり,80,15,硬い殻をもつ大きなタネを上からたたきつけて相手を攻撃する。,Inflicts regular damage.
エアスラッシュ,ひこう,とくしゅ,75,15,空をも切り裂く空気の刃で攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 30% chance to make the target flinch.
シザークロス,むし,ぶつり,80,15,カマやツメをハサミのように交差させながら相手を切り裂く。,Inflicts regular damage.
むしのさざめき,むし,とくしゅ,90,10,はねの振動で音波をおこして攻撃する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
りゅうのはどう,ドラゴン,とくしゅ,85,10,大きな口から衝撃波をまきおこして相手を攻撃する。,Inflicts regular damage.
ドラゴンダイブ,ドラゴン,ぶつり,100,10,すさまじい殺気で威圧しながら体当たりする。相手をひるませることがある。,Inflicts regular damage.  Has a 20% chance to make the target flinch.
パワージェム,いわ,とくしゅ,80,20,宝石のようにきらめく光を発射して相手を攻撃する。,Inflicts regular damage.
ドレインパンチ,かくとう,ぶつり,75,10,こぶしから相手の力を吸い取る。与えたダメージの半分のＨＰを回復できる。,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
しんくうは,かくとう,とくしゅ,40,30,こぶしをふって真空の波をまきおこす。必ず先制攻撃できる。,Inflicts regular damage.
きあいだま,かくとう,とくしゅ,120,5,気合を高めてありったけの力を放出する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
エナジーボール,くさ,とくしゅ,90,10,自然から集めた命の力を発射する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
ブレイブバード,ひこう,ぶつり,120,15,はねをおりたたみ低空飛行で突撃する。自分もかなりダメージを受ける。,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
だいちのちから,じめん,とくしゅ,90,10,相手の足下へ大地の力を放出する。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
すりかえ,あく,へんか,,10,目にもとまらぬ速さで自分と相手の持ち物を交換する。,"User and target permanently swap held items.  Works even if one of the Pok?mon isn't holding anything.  If either Pok?mon is holding mail, this move will fail.

If either Pok?mon has multitype or sticky hold, this move will fail.

If this move results in a Pok?mon obtaining choice band, choice scarf, or choice specs, and that Pok?mon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pok?mon had a choice item before this move was used.  If the first of the two Pok?mon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
ギガインパクト,ノーマル,ぶつり,150,5,持てる力をすべて使って相手に突撃する。次のターンは動けなくなる。,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
わるだくみ,あく,へんか,,20,悪いことを考えて頭を活性化させる。自分の特攻をぐーんとあげる。,Raises the user's Special Attack by two stages.
バレットパンチ,はがね,ぶつり,40,30,弾丸のような速くて硬いパンチを相手にくりだす。必ず先制攻撃できる。,Inflicts regular damage.
ゆきなだれ,こおり,ぶつり,60,10,相手から技を受けているとその相手に対して技の威力が２倍になる。,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
こおりのつぶて,こおり,ぶつり,40,30,氷の塊を一瞬でつくり相手に素早く放つ。必ず先制攻撃できる。,Inflicts regular damage.
シャドークロー,ゴースト,ぶつり,70,15,影からつくった鋭いツメで相手を切り裂く。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
かみなりのキバ,でんき,ぶつり,65,15,電気をためたキバでかみつく。相手をひるませたりまひ状態にすることがある。,Inflicts regular damage.  Has a 10% chance to paralyze the target and a separate 10% chance to make the target flinch.
こおりのキバ,こおり,ぶつり,65,15,冷気をひめたキバでかみつく。相手をひるませたりこおり状態にすることがある。,Inflicts regular damage.  Has a 10% chance to freeze the target and a separate 10% chance to make the target flinch.
ほのおのキバ,ほのお,ぶつり,65,15,炎をまとったキバでかみつく。相手をひるませたりやけど状態にすることがある。,Inflicts regular damage.  Has a 10% chance to burn the target and a separate 10% chance to make the target flinch.
かげうち,ゴースト,ぶつり,40,30,影をのばして相手の背後から攻撃する。必ず先制攻撃できる。,Inflicts regular damage.
どろばくだん,じめん,とくしゅ,65,10,硬い泥の弾を相手に発射して攻撃する。命中率をさげることがある。,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
サイコカッター,エスパー,ぶつり,70,20,実体化させた心の刃で相手を切り裂く。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
しねんのずつき,エスパー,ぶつり,80,15,思念の力を額に集めて攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 20% chance to make the target flinch.
ミラーショット,はがね,とくしゅ,65,10,磨きあげられた体からせん光の力を相手に放つ。命中率をさげることがある。,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
ラスターカノン,はがね,とくしゅ,80,10,体の光を一点に集めて力を放つ。相手の特防をさげることがある。,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
ロッククライム,ノーマル,ぶつり,90,20,すごい勢いで相手につっこみ攻撃する。相手を混乱させることがある。,Inflicts regular damage.  Has a 20% chance to confuse the target.
きりばらい,ひこう,へんか,,15,強い風で相手のリフレクターやひかりのかべなどをはらいのける。回避率もさげる。,"Lowers the target's evasion by one stage.  Clears away fog.  Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target's side of the field.

If the target is protected by mist, it will prevent the evasion change, then be removed by this move."
トリックルーム,エスパー,へんか,,5,まか不思議な空間をつくる。５ターンのあいだ遅いポケモンから行動できる。,"For five turns (including this one), slower Pok?mon will act before faster Pok?mon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.

Pok?mon holding full incense, lagging tail, or quick claw and Pok?mon with stall ignore this effect."
りゅうせいぐん,ドラゴン,とくしゅ,130,5,天空から隕石を相手に落とす。使うと反動で自分の特攻ががくっとさがる。,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
ほうでん,でんき,とくしゅ,80,15,まばゆい電撃で自分の周りにいるものを攻撃する。まひ状態にすることがある。,Inflicts regular damage.  Has a 30% chance to paralyze the target.
ふんえん,ほのお,とくしゅ,80,15,真っ赤な炎で自分の周りにいるものを攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 30% chance to burn the target.
リーフストーム,くさ,とくしゅ,130,5,とがったはっぱで相手にあらしをおこす。使うと反動で自分の特攻ががくっとさがる。,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
パワーウィップ,くさ,ぶつり,120,10,ツタや触手を激しくふるって相手をたたきつけ攻撃する。,Inflicts regular damage.
がんせきほう,いわ,ぶつり,150,5,巨大な岩を相手に発射して攻撃する。次のターンは動けなくなる。,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
クロスポイズン,どく,ぶつり,70,20,毒の刃で相手を切り裂く。毒状態にすることがあり急所にも当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.
ダストシュート,どく,ぶつり,120,5,汚いゴミを相手にぶつけて攻撃する。毒状態にすることがある。,Inflicts regular damage.  Has a 30% chance to poison the target.
アイアンヘッド,はがね,ぶつり,80,15,鋼のような硬い頭で攻撃する。相手をひるませることがある。,Inflicts regular damage.  Has a 30% chance to make the target flinch.
マグネットボム,はがね,ぶつり,60,20,相手に吸いつく鋼の爆弾を発射する。攻撃は必ず命中する。,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
ストーンエッジ,いわ,ぶつり,100,5,とがった岩を相手に突き刺して攻撃する。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
ゆうわく,ノーマル,へんか,,20,♂なら♀を♀なら♂を誘惑して相手の特攻をがくっとさげる。,"Lowers the target's Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail."
ステルスロック,いわ,へんか,,20,相手の周りに無数の岩を浮かべて交代ででてきた相手のポケモンにダメージを与える。,"Spreads sharp rocks around the opposing field, damaging any Pok?mon that enters the field for 1/8 its max HP.  This damage is affected by the entering Pok?mon's susceptibility to rock moves.

rapid spin removes this effect from its user's side of the field."
くさむすび,くさ,とくしゅ,,20,草をからませて相手を転ばせる。相手が重いほど威力があがる。,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
おしゃべり,ひこう,とくしゅ,65,20,おぼえた言葉で音波をおこして攻撃する。相手を混乱させる。,"Inflicts regular damage.  Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion.  If the user is not a chatot, this move will not cause confusion.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk."
さばきのつぶて,ノーマル,とくしゅ,100,10,無数の光弾を相手に放出する。自分の持つプレートによりタイプが変わる。,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
むしくい,むし,ぶつり,60,20,かみついて攻撃する。相手がきのみを持っているとき食べてきのみの効果を受けられる。,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
チャージビーム,でんき,とくしゅ,50,10,電撃の束を相手に発射する。電気をためて自分の特攻をあげることがある。,Inflicts regular damage.  Has a 70% chance to raise the user's Special Attack by one stage.
ウッドハンマー,くさ,ぶつり,120,15,硬い胴体を相手にたたきつけて攻撃する。自分もかなりダメージを受ける。,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
アクアジェット,みず,ぶつり,40,20,目にも留まらぬものすごい速さで相手につっこむ。必ず先制攻撃できる。,Inflicts regular damage.
こうげきしれい,むし,ぶつり,90,15,しもべを呼びだして相手にむかって攻撃させる。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
ぼうぎょしれい,むし,へんか,,10,しもべを呼びだして自分の体におおいつかせる。防御と特防をあげることができる。,Raises the user's Defense and Special Defense by one stage.
かいふくしれい,むし,へんか,,10,しもべを呼びだしてきずを治す。最大ＨＰの半分自分のＨＰを回復する。,Heals the user for half its max HP.
もろはのずつき,いわ,ぶつり,150,5,命を懸けてこん身の力で相手にずつきをする。自分もものすごいダメージを受ける。,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.
ダブルアタック,ノーマル,ぶつり,35,10,しっぽなどを使い相手をたたいて攻撃する。２回連続でダメージを与える。,Inflicts regular damage.  Hits twice in one turn.
ときのほうこう,ドラゴン,とくしゅ,150,5,時間がゆがむほどの力をうちだして相手を攻撃する。次のターンは動けなくなる。,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
あくうせつだん,ドラゴン,とくしゅ,100,5,周りの空間ごと相手を引き裂きダメージを与える。急所に当たりやすい。,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
みかづきのまい,エスパー,へんか,,10,自分はひんしになるが控えからでてくるポケモンのすべての状態を回復する。,"User faints.  Its replacement's HP and PP are fully restored, and any major status effect is removed."
にぎりつぶす,ノーマル,ぶつり,,5,すさまじい力で相手をにぎりつぶす。相手のＨＰが残っているほど威力があがる。,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
マグマストーム,ほのお,とくしゅ,100,5,激しく燃えたぎる炎のなかに４ー５ターンのあいだ相手を閉じこめて攻撃する。,"Inflicts regular damage.  For the next 2?5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
ダークホール,あく,へんか,,10,暗黒の世界にひきずり落として相手を眠り状態にする。,Puts the target to sleep.
シードフレア,くさ,とくしゅ,120,5,体の中から衝撃波を発生させる。相手の特防をがくっとさげることがある。,Inflicts regular damage.  Has a 40% chance to lower the target's Special Defense by two stages.
あやしいかぜ,ゴースト,とくしゅ,60,5,みのけもよだつ突風で相手を攻撃する。自分のすべての能力があがることがある。,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
シャドーダイブ,ゴースト,ぶつり,120,5,１ターン目で姿を消して２ターン目に相手を攻撃する。守っていても攻撃は当たる。,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.

This move ignores the effects of detect and protect.

This move cannot be selected by sleep talk."
つめとぎ,あく,へんか,,15,ツメを磨いて鋭くする。自分の攻撃と命中率をあげる。,Raises the user's Attack and accuracy by one stage.
ワイドガード,いわ,へんか,,10,味方全員に当たる攻撃を１ターンのあいだ防ぐ。,"Moves with multiple targets will not hit friendly Pok?mon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
ガードシェア,エスパー,へんか,,10,超能力で自分と相手の防御と特防をたして半分にわける。,Averages the user's unmodified Defense with the target's unmodified Defense; the value becomes the unmodified Defense for both Pok?mon. Unmodified Special Defense is averaged the same way.
パワーシェア,エスパー,へんか,,10,超能力で自分と相手の攻撃と特攻をたして半分にわける。,"Averages the user's unmodified Attack with the target's unmodified Attack; the value becomes the unmodified Attack for both Pok?mon. Unmodified Special Attack is averaged the same way.

This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day."
ワンダールーム,エスパー,へんか,,10,まか不思議な空間をつくる。５ターンのあいだすべてのポケモンの防御と特防が入れ替わる。,"For five turns (including this one), every Pok?mon's Defense and Special Defense are swapped."
サイコショック,エスパー,とくしゅ,80,10,不思議な念波を実体化して相手を攻撃する。物理的なダメージを与える。,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
ベノムショック,どく,とくしゅ,65,10,特殊な毒液を浴びせかける。毒状態の相手には威力が２倍になる。,"Inflicts regular damage.  If the target is poisoned, this move has double power."
ボディパージ,はがね,へんか,,15,体のムダな部分を削る。自分の素早さをぐーんとあげて体重も軽くなる。,Raises the user's Speed by two stages.  Halves the user's weight; this effect does not stack.
いかりのこな,むし,へんか,,20,イライラさせる粉を自分にふりかけて注意をひく。相手の攻撃をすべて自分にむける。,"Until the end of this turn, any moves that opposing Pok?mon target solely at the user's ally will instead target the user.  If both Pok?mon on the same side of the field use this move on the same turn, the Pok?mon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pok?mon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
テレキネシス,エスパー,へんか,,15,超能力で相手を浮かせる。３ターンのあいだ攻撃が相手に当たりやすくなる。,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.

This effect is removed by gravity.  If Gravity is already in effect, this move will fail."
マジックルーム,エスパー,へんか,,10,まか不思議な空間をつくる。５ターンのあいだすべてのポケモンの道具の効果がなくなる。,"For five turns (including this one), passive effects of held items are ignored, and Pok?mon will not use their held items."
うちおとす,いわ,ぶつり,50,15,石や弾を投げて飛んでいる相手を攻撃する。相手はうち落とされて地面に落ちる。,"Inflicts regular damage.  Removes the target's immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target's flying type to be ignored when it takes Ground damage.

If the target isn't immune to Ground damage, this move will fail.

This move can hit Pok?mon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly."
やまあらし,かくとう,ぶつり,60,10,強烈な一撃を相手にくりだす。攻撃は必ず急所に当たる。,Inflicts regular damage.  Always scores a critical hit.
はじけるほのお,ほのお,とくしゅ,70,15,当たるとはじける炎で相手を攻撃する。はじけた炎は隣の相手にもふりかかる。,"Inflicts regular damage.  If this move successfully hits the target, any Pok?mon adjacent to the target are damaged for 1/16 their max HP."
ヘドロウェーブ,どく,とくしゅ,95,10,ヘドロの波で自分の周りにいるものを攻撃する。毒状態にすることがある。,Inflicts regular damage.  Has a 10% chance to poison the target.
ちょうのまい,むし,へんか,,20,神秘的で美しい舞を軽やかにおどる。自分の特攻と特防と素早さをあげる。,"Raises the user's Special Attack, Special Defense, and Speed by one stage each."
ヘビーボンバー,はがね,ぶつり,,10,重たい体で相手にぶつかって攻撃する。自分が相手より重いほど威力があがる。,"Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.

User's weight                    | Power
-------------------------------- | ----:
Up to 2× the target's weight     |    40
Up to 3× the target's weight     |    60
Up to 4× the target's weight     |    80
Up to 5× the target's weight     |   100
More than 5× the target's weight |   120
"
シンクロノイズ,エスパー,とくしゅ,120,10,不思議な電波で周りにいる自分と同じタイプのポケモンにダメージを与える。,Inflicts regular damage.  Only Pok?mon that share a type with the user will take damage from this move.
エレキボール,でんき,とくしゅ,,10,電気の塊を相手にぶつける。相手より素早さが速いほど威力があがる。,"Inflicts regular damage.  The greater the user's Speed compared to the target's, the higher power this move has, to a maximum of 150.

User's Speed                     | Power
-------------------------------- | ----:
Up to 2× the target's Speed      |    60
Up to 3× the target's Speed      |    80
Up to 4× the target's Speed      |   120
More than 4× the target's Speed  |   150
"
みずびたし,みず,へんか,,20,たくさんの水を浴びせかけて相手をみずタイプにする。,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail."
ニトロチャージ,ほのお,ぶつり,50,20,炎をまとい相手を攻撃する。力をためて自分の素早さをあげる。,Inflicts regular damage.  Raises the user's Speed by one stage.
とぐろをまく,どく,へんか,,20,とぐろをまいて集中する。自分の攻撃と防御と命中率をあげる。,"Raises the user's Attack, Defense, and accuracy by one stage each."
ローキック,かくとう,ぶつり,65,20,素早い動きで相手の足をねらって攻撃する。相手の素早さをさげる。,Lowers the target's Speed by one stage.
アシッドボム,どく,とくしゅ,40,20,相手をとかす液体を吐きだして攻撃する。相手の特防をがくっとさげる。,Inflicts regular damage.  Lowers the target's Special Defense by two stages.
イカサマ,あく,ぶつり,95,15,相手の力を利用する。戦っている相手の攻撃が高いほどダメージがあがる。,Inflicts regular damage.  Damage is calculated using the target's attacking stat rather than the user's.
シンプルビーム,ノーマル,へんか,,15,なぞの念波を相手に送る。念波を受けとった相手は特性がたんじゅんになる。,Changes the target's ability to simple.
なかまづくり,ノーマル,へんか,,15,不思議なリズムでおどる。動きをまねさせて自分と相手の特性を同じにする。,Changes the target's ability to match the user's.  This effect ends when the target leaves battle.
おさきにどうぞ,ノーマル,へんか,,15,相手の行動をサポートして自分の行動のあとに続けて動けるようにする。,"The target will act next this turn, regardless of Speed or move priority.
If the target has already acted this turn, this move will fail."
りんしょう,ノーマル,とくしゅ,60,15,歌で相手を攻撃する。みんなで輪唱すると続けてだすことができ威力もあがる。,"Inflicts regular damage.  If round has already been used this turn, this move's power is doubled.  After this move is used, any other Pok?mon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pok?mon using other moves will then continue to act as usual."
エコーボイス,ノーマル,とくしゅ,40,15,響く声で相手を攻撃する。毎ターンだれかが技を使い続けると威力があがる。,"Inflicts regular damage.  If any friendly Pok?mon used this move earlier this turn or on the previous turn, that use's power is added to this move's power, to a maximum of 200."
なしくずし,ノーマル,ぶつり,70,20,すきをみて堅実に攻撃する。相手の能力変化に関係なくダメージを与える。,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
クリアスモッグ,どく,とくしゅ,50,15,特殊な泥の塊を相手に投げつけて攻撃する。能力変化をもとにもどす。,Inflicts regular damage.  All of the target's stat modifiers are reset to zero.
アシストパワー,エスパー,とくしゅ,20,10,蓄積されたパワーで相手を攻撃する。自分の能力があがっているほど威力があがる。,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pok?mon with all five stats modified to +6, this move's power is 31×."
ファストガード,かくとう,へんか,,15,自分と味方を相手の先制攻撃から守る。,"Moves with priority greater than 0 will not hit friendly Pok?mon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
サイドチェンジ,エスパー,へんか,,15,不思議な力でテレポートして自分と味方の居場所を入れ替える。,"User switches position on the field with the friendly Pok?mon opposite it.  If the user is in the middle position in a triple battle, or there are no other friendly Pok?mon, this move will fail."
ねっとう,みず,とくしゅ,80,15,熱く煮えたぎる水を相手に発射して攻撃する。やけど状態にすることがある。,Inflicts regular damage.  Has a 30% chance to burn the target.
からをやぶる,ノーマル,へんか,,15,殻をやぶって自分の防御特防をさげるが攻撃特攻素早さをぐーんとあげる。,"Raises the user's Attack, Special Attack, and Speed by two stages each.  Lowers the user's Defense and Special Defense by one stage each."
いやしのはどう,エスパー,へんか,,10,いやしのはどうをとばして最大ＨＰの半分相手のＨＰを回復する。,Heals the target for half its max HP.
たたりめ,ゴースト,とくしゅ,65,10,たたみかけるように攻撃する。状態異常の相手に大きなダメージを与える。,"Inflicts regular damage.  If the target has a major status ailment, this move has double power."
フリーフォール,ひこう,ぶつり,60,10,１ターン目で相手を空へ連れさり２ターン目に落として攻撃する。連れさられた相手は動けない。,"Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pok?mon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.

If the target is flying-type, this move will function as normal but inflict no damage.

gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.

The damage from hail and sandstorm still applies during this effect.

Either Pok?mon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.

*Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
ギアチェンジ,はがね,へんか,,10,歯車を回して自分の攻撃をあげるだけでなく素早さもぐーんとあげる。,Raises the user's Attack by one stage and its Speed by two stages.
ともえなげ,かくとう,ぶつり,60,10,相手を投げとばして控えのポケモンをひきずりだす。野生の場合は戦闘が終わる。,"Inflicts regular damage, then switches the target out for another of its trainer's Pok?mon, selected at random.

If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pok?mon, it will not be switched out.  If the target is a wild Pok?mon, the battle ends instead."
やきつくす,ほのお,とくしゅ,60,15,炎で相手を攻撃する。相手がきのみなどを持っているとき燃やして使えなくする。,"Inflicts regular damage.  If the target is holding a berry, it's destroyed and cannot be used in response to this move."
さきおくり,あく,へんか,,15,相手をおさえつけて行動の順番を最後にする。,"Forces the target to act last this turn, regardless of Speed or move priority.  If the target has already acted this turn, this move will fail."
アクロバット,ひこう,ぶつり,55,15,軽やかに相手を攻撃する。自分が道具を持っていないとき大きなダメージを与える。,"Inflicts regular damage.  If the user has no held item, this move has double power."
